,id,lat,long
12425,976,40.595643125464115,-73.99674706896617
12426,963,40.84029805958649,-73.92157911737561
12427,963,40.84034747297666,-73.92161048053306
12428,963,40.839935107359025,-73.92124842493921
12429,963,40.84028258364352,-73.92137136325566
12430,813,40.82825870281569,-73.84109419159068
12431,813,40.82843209552605,-73.84114801423749
12432,813,40.828519667499336,-73.84117975450528
12433,600,40.72027532359124,-73.73227959550904
12434,600,40.72024462773786,-73.73222265833823
12435,600,40.72183187498142,-73.73304973163472
12436,600,40.72038552619853,-73.73248006624961
12437,386,40.718933222284655,-73.97490615682182
12438,768,40.88067974401444,-73.88581058880398
12439,768,40.88059678461334,-73.88592331179974
12440,768,40.88050741129649,-73.88595071744943
12441,768,40.88059601938418,-73.88575053305439
12442,768,40.88052849708358,-73.88587416837183
12443,768,40.88050741129649,-73.88595071744943
12444,347,40.74886871396474,-73.96998692139938
12445,347,40.74890817990418,-73.96993994278702
12446,212,40.583779497310104,-73.94739451668075
12447,212,40.58379927229239,-73.94645764178338
12448,212,40.583634264323884,-73.94736479509396
12449,212,40.58366592267865,-73.94645754789511
12450,678,40.842438524694316,-73.93152123579908
12451,279,40.71064336051469,-73.95648251414998
12452,263,40.71325350096945,-73.97758682594112
12453,972,40.71064336051469,-73.95648251414998
12454,97,40.59506785013064,-73.998988663597
12455,1041,40.796880197804185,-73.92946933413947
12456,97,40.59332180601484,-73.9965441592738
12457,97,40.591589744412275,-73.99475273102885
12458,97,40.5899216752518,-73.99255747855733
12459,97,40.587151687312314,-73.9911014171146
12460,97,40.58584778377629,-73.99087657333945
12461,263,40.73811935495986,-73.97343412287388
12462,973,40.739324603648825,-73.97281887185643
12463,973,40.73899518615707,-73.97292131850459
12464,263,40.73892038229108,-73.97296511916915
12465,263,40.73795001746127,-73.97356431300939
12466,263,40.73756867440249,-73.97385747441437
12467,263,40.7374494025039,-73.97394238423188
12468,263,40.73738952909069,-73.97398414891683
12469,263,40.737081293583024,-73.97422108103486
12470,263,40.73692451575283,-73.97434453554312
12471,263,40.73679489578451,-73.97441743253991
12472,973,40.739675991794954,-73.9727095946269
12473,44,40.64247172113041,-74.07326433611973
12474,39,40.64218866574952,-74.07519080099453
12475,39,40.642244477797384,-74.07519400852057
12476,83,40.706079882212926,-74.01930552755447
12477,83,40.70656647591354,-74.01918356030393
12478,83,40.70668440347228,-74.0188773470206
12479,83,40.706845352848376,-74.01892616980503
12480,466,40.81812306896824,-73.96023645555783
12481,466,40.81844757098086,-73.95999682644015
12482,631,40.771595174984895,-73.91942178563708
12483,631,40.77114938765101,-73.91880312551612
12484,266,40.854570369330524,-73.895608833161
12485,266,40.854749764790206,-73.89549889794392
12486,804,40.74367255269806,-73.84695616846575
12487,386,40.71874612462337,-73.97499481714024
12488,386,40.71876621745157,-73.97492328649162
12489,436,40.76527961862972,-73.95198794481409
12490,436,40.76525040168246,-73.95193373329086
12491,1056,40.70573447894272,-73.92657398949379
12492,160,40.70313009978305,-73.98758957923629
12493,160,40.702638756131364,-73.98762190280685
12494,591,40.589408377569605,-73.79778061627026
12495,162,40.74446548599212,-73.88623268246968
12496,767,40.87558774515017,-73.89407272800277
12497,767,40.87782343337696,-73.89231321495821
12498,18,40.56743645114734,-74.1076643149159
12499,18,40.56751365647106,-74.10760317576099
12500,18,40.56693206083993,-74.10806374292585
12501,707,40.735574056631535,-73.88110449914731
12502,707,40.7357078736539,-73.88066189040038
12503,591,40.58877900583945,-73.79771832475221
12504,941,40.61796546138164,-74.1084162058005
12505,941,40.617956079373684,-74.10851967758211
12506,941,40.61793704295028,-74.10872965774578
12507,941,40.6181156109514,-74.10791253274625
12508,941,40.61815367996835,-74.1077739021305
12509,941,40.61804957322457,-74.10809730130777
12510,57,40.58512761261189,-73.98730977503607
12511,57,40.58462626576266,-73.98701023040788
12512,956,40.58821707132946,-73.80093471179404
12513,956,40.58857501765463,-73.80098670161242
12514,956,40.58822381661783,-73.80079306108495
12515,956,40.588583514815994,-73.80085820518379
12516,956,40.587708830936464,-73.80086251330336
12517,89,40.572931535120155,-73.98182081790591
12518,89,40.57290332724468,-73.98209127375084
12519,65,40.63866937053816,-74.02417094630347
12520,262,40.69796044945073,-73.97379871015374
12521,262,40.69793965108206,-73.97332378621115
12522,941,40.625205857043866,-74.12193573823336
12523,941,40.625586326578905,-74.12215677471397
12524,990,40.56071998011563,-73.90834195007069
12525,990,40.56070238203611,-73.90916033576069
12526,954,40.5663919606257,-73.88686618962224
12527,954,40.566164643129575,-73.88768239952404
12528,990,40.560808532375944,-73.90845930162088
12529,990,40.5608120731894,-73.90920688064222
12530,970,40.61482419099589,-73.82170208047356
12531,970,40.61472818808342,-73.82161619158023
12532,238,40.674003052122806,-73.98575694970165
12533,238,40.67337275516056,-73.98628003475223
12534,954,40.5664571346175,-73.88696979351421
12535,954,40.566248779604926,-73.88771775555556
12536,970,40.6149086901606,-73.82157060331963
12537,970,40.61478884228137,-73.821462728768
12538,238,40.67394499039063,-73.9856400231567
12539,238,40.673315406916224,-73.98616105310097
12540,262,40.69804773033303,-73.97578275763183
12541,262,40.69802218690064,-73.97519315195213
12542,949,40.57776187849046,-73.94444477317327
12543,949,40.57785010632383,-73.94363106167265
